schedule_number,expected_utility,schedule_length
1,13.800501,2
2,15.92849,3
3,15.457686,3
4,23.0218,4
5,17.610715,5
6,16.667869,5
7,14.556443,5
8,14.521069,5
9,14.335126,4
10,14.204361,6
