schedule_number,expected_utility,schedule_length
1,-2.064344,2
2,-1.664277,3
3,7.714557,4
4,7.016839,5
5,6.294809,5
6,6.286558,4
7,7.097476,5
8,7.152031,6
9,6.374462,5
10,6.132779,5
