schedule_number,expected_utility,schedule_length
1,19.382269,2
2,15.189552,3
3,13.710351,3
4,13.710351,3
5,14.987535,4
6,17.610715,5
7,14.204361,6
8,12.452658,6
9,12.435544,3
10,13.891202,4
