schedule_number,expected_utility,schedule_length
1,19.382269,2
2,20.385766,3
3,23.0218,4
4,18.704732,5
5,17.610715,5
6,16.667869,5
7,16.259647,4
8,15.457686,3
9,15.189552,3
10,14.987535,4
