schedule_number,expected_utility,schedule_length
1,18.5215,2
2,14.44929,3
3,13.063014,4
4,13.983296,5
5,12.021496,4
6,11.695281,3
7,11.490886,3
8,11.154271,4
9,11.119153,3
10,11.084773,6
