schedule_number,expected_utility,schedule_length
1,14.999037,2
2,11.419967,3
3,11.126279,3
4,9.940733,3
5,9.322448,3
6,8.681597,3
7,8.548791,4
8,8.461263,3
9,8.296106,4
10,8.296106,4
