schedule_number,expected_utility,schedule_length
1,14.999037,2
2,9.660899,3
3,9.155513,3
4,8.461263,3
5,8.044023,3
6,9.06101,4
7,7.179285,5
8,6.979936,3
9,6.979936,3
10,6.849147,2
