schedule_number,expected_utility,schedule_length
1,14.999037,2
2,12.937541,2
3,11.419967,3
4,11.419967,3
5,9.940733,3
6,9.155513,3
7,8.548791,4
8,8.461263,3
9,8.461263,3
10,8.296106,4
