schedule_number,expected_utility,schedule_length
1,12.937541,2
2,9.647028,3
3,9.647028,3
4,8.167421,3
5,7.887382,3
6,7.716022,3
7,7.402677,3
8,7.022084,4
9,7.022084,4
10,6.685025,3
