schedule_number,expected_utility,schedule_length
1,14.999037,2
2,12.303905,2
3,11.419967,3
4,11.126279,3
5,9.940733,3
6,9.82113,4
7,9.660899,3
8,9.155513,3
9,9.102034,3
10,8.548791,4
