schedule_number,expected_utility,schedule_length
1,14.999037,2
2,12.937541,2
3,11.419967,3
4,9.647028,3
5,9.647028,3
6,9.155513,3
7,8.548791,4
8,8.548791,4
9,8.461263,3
10,8.461263,3
11,7.438336,4
12,7.179285,5
13,7.022084,4
14,6.88327,4
15,6.251539,5
16,5.995429,4
17,5.995429,4
18,5.519746,6
19,4.907137,5
20,4.877226,5
