schedule_number,expected_utility,schedule_length
1,14.999037,2
2,12.937541,2
3,11.419967,3
4,9.647028,3
5,9.647028,3
6,9.155513,3
7,8.548791,4
8,7.438336,4
9,7.179285,5
10,7.022084,4
11,6.88327,4
12,7.246366,5
13,6.251539,5
14,5.55541,6
15,5.084411,7
16,4.48174,7
17,4.362762,6
18,4.160953,7
19,4.482781,8
20,4.098418,8
