schedule_number,expected_utility,schedule_length
1,14.999037,2
2,12.937541,2
3,11.419967,3
4,9.647028,3
5,9.647028,3
6,9.155513,3
7,8.461263,3
8,8.461263,3
9,8.167421,3
10,8.044023,3
11,7.716022,3
12,7.402677,3
13,7.03529,3
14,6.979936,3
15,6.849147,2
16,6.790589,3
17,6.267924,3
18,5.536103,3
19,5.484461,3
20,5.484461,3
