schedule_number,expected_utility,schedule_length
1,19.382269,2
2,18.5215,2
3,15.457686,3
4,14.44929,3
5,13.063014,4
6,13.983296,5
7,16.086069,6
8,13.063014,4
9,12.85471,3
10,12.435544,3
11,13.891202,4
12,16.667869,5
13,13.393513,6
14,12.452658,6
15,11.7909,4
16,12.88928,5
17,11.695281,3
18,11.490886,3
19,11.154271,4
20,11.154271,4
