schedule_number,expected_utility,schedule_length
1,19.382269,2
2,18.5215,2
3,17.531759,4
4,15.457686,3
5,23.0218,4
6,18.704732,5
7,17.610715,5
8,16.667869,5
9,16.516699,5
10,15.189552,3
11,16.259647,4
12,15.189552,3
13,16.259647,4
14,14.44929,3
15,14.44929,3
16,14.373775,5
17,14.228932,5
18,14.002171,5
19,13.800501,2
20,13.710351,3
