schedule_number,expected_utility,schedule_length
1,18.5215,2
2,16.668752,3
3,17.531759,4
4,13.983296,5
5,13.29361,4
6,19.798748,5
7,15.145215,6
8,11.695281,3
9,11.490886,3
10,11.384319,6
11,10.694556,4
12,10.661096,3
13,10.649649,3
14,10.518774,4
15,9.84925,6
16,9.829008,4
17,9.548684,3
18,9.161419,4
19,9.055848,5
20,9.026403,5
