schedule_number,expected_utility,schedule_length
1,19.382269,2
2,20.385766,3
3,23.0218,4
4,18.704732,5
5,18.5215,2
6,17.610715,5
7,16.667869,5
8,16.516699,5
9,16.259647,4
10,16.259647,4
11,15.457686,3
12,15.189552,3
13,15.189552,3
14,14.987535,4
15,14.987535,4
16,14.556443,5
17,14.521069,5
18,14.44929,3
19,14.44929,3
20,14.002171,5
