schedule_number,expected_utility,schedule_length
1,18.5215,2
2,11.490886,3
3,10.649649,3
4,6.286047,3
5,5.459834,4
6,3.76505,4
7,6.395819,5
8,2.450867,4
9,0.631434,6
10,-0.55776,4
11,-0.957511,4
12,-1.223281,4
13,-1.612416,7
14,-1.77644,5
15,-1.658729,6
16,1.947373,7
17,1.106376,8
18,0.268916,9
19,0.072466,8
20,-1.787141,8
