schedule_number,expected_utility,schedule_length
1,14.999037,2
2,11.126279,3
3,9.155513,3
4,8.461263,3
5,8.296106,4
6,8.296106,4
7,8.044023,3
8,9.06101,4
9,7.179285,5
10,6.849147,2
11,6.773052,3
12,6.452749,4
13,6.032014,5
14,5.839224,4
15,5.738961,4
16,5.605106,4
17,5.536103,3
18,5.484461,3
19,5.438756,4
20,5.34761,4
