schedule_number,expected_utility,schedule_length
1,14.999037,2
2,11.126279,3
3,8.478202,3
4,8.296106,4
5,5.559641,4
6,5.536103,3
7,5.34761,4
8,3.721123,4
9,3.775732,5
10,3.715617,4
11,3.647972,4
12,3.230609,5
13,3.199729,5
14,2.9765,6
15,2.674493,3
16,2.495576,4
17,1.800325,5
18,1.658662,5
19,3.889998,6
20,1.20116,4
