schedule_number,expected_utility,schedule_length
1,14.999037,2
2,11.126279,3
3,8.478202,3
4,5.559641,4
5,5.34761,4
6,2.674493,3
7,1.20116,4
8,0.147653,5
9,-0.391155,5
10,-0.734093,5
11,-0.988152,5
12,4.28812,6
13,-0.075271,7
14,-1.094454,5
15,-1.157753,7
16,-1.221565,7
17,-1.169275,8
18,-1.336123,6
19,-1.489515,8
20,-1.509196,5
