schedule_number,expected_utility,schedule_length
1,14.999037,2
2,12.937541,2
3,12.303905,2
4,11.419967,3
5,9.940733,3
6,9.82113,4
7,9.647028,3
8,9.647028,3
9,9.322448,3
10,9.155513,3
11,9.102034,3
12,9.102034,3
13,8.548791,4
14,8.461263,3
15,8.461263,3
16,8.30804,4
17,8.167421,3
18,8.167421,3
19,8.044023,3
20,7.716022,3
